student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score
1000,23,Female,0,1.2,1.1,No,85,8,Fair,6,Master,Average,8,Yes,56.2
1001,20,Female,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100
1002,21,Male,1.4,3.1,1.3,No,94.8,8,Poor,1,High School,Poor,1,No,34.3
1003,23,Female,1,3.9,1,No,71,9.2,Poor,4,Master,Good,1,Yes,26.8
1004,19,Female,5,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4
1005,24,Male,7.2,1.3,0,No,82.9,7.4,Fair,1,Master,Average,4,No,100
1006,21,Female,5.6,1.5,1.4,Yes,85.8,6.5,Good,2,Master,Poor,4,No,89.8
1007,21,Female,4.3,1,2,Yes,77.7,4.6,Fair,0,Bachelor,Average,8,No,72.6
1008,23,Female,4.4,2.2,1.7,No,100,7.1,Good,3,Bachelor,Good,1,No,78.9
1009,18,Female,4.8,3.1,1.3,No,95.4,7.5,Good,5,Bachelor,Good,10,Yes,100
1010,19,Female,4.6,3.7,0.8,No,77.6,5.8,Fair,1,None,Good,3,No,63.3
1011,23,Male,3.9,2.4,2.5,No,71.7,7.9,Fair,2,Bachelor,Average,1,No,74.4
1012,19,Female,3.7,2.1,0.4,Yes,81.1,4.5,Fair,1,Bachelor,Good,9,No,76.9
1013,19,Female,3.4,2.7,2.7,No,89.3,4.7,Fair,4,Bachelor,Good,10,No,75.8
1014,24,Male,2.4,1.5,0.7,No,87.4,6.7,Poor,6,Bachelor,Average,9,No,78.9
1015,21,Male,3.1,5,1,No,97.5,6.5,Good,6,High School,Average,7,No,74
1016,20,Male,1,0.6,0.2,No,92.9,5.6,Poor,3,High School,Poor,8,Yes,55.2
1017,24,Female,3.4,2.7,1.2,No,94.7,7.5,Poor,0,High School,Average,1,Yes,70.8
1018,24,Other,2,4.9,2.9,Yes,88.3,7.1,Good,2,High School,Good,5,No,43.9
1019,19,Male,1.8,2.5,2.4,No,71.1,7.5,Fair,1,High School,Average,2,No,45.3
1020,22,Female,3.8,2.3,2.9,No,83,6.4,Good,3,Master,Good,1,No,58.5
1021,21,Male,5.6,2.1,2.4,No,95.6,7.2,Fair,1,High School,Good,3,No,82.5
1022,18,Other,4.9,2.3,0.6,No,84.5,6,Fair,3,High School,Average,7,No,98.7
1023,24,Female,1.1,4.1,1.4,Yes,90,9,Fair,6,Bachelor,Good,1,No,43.7
1024,20,Female,2,0,0.9,Yes,81.8,5.5,Fair,4,Bachelor,Average,2,No,54.9
1025,22,Male,4.9,4.3,3.3,No,74.7,9,Fair,1,High School,Average,2,Yes,69.9
1026,22,Male,2,0.8,0.5,No,83.8,6.5,Good,4,Bachelor,Poor,4,No,73.5
1027,18,Male,3.2,2.2,2.8,Yes,88.1,4.8,Fair,5,Bachelor,Average,3,No,71.1
1028,24,Male,4.3,2,2.8,Yes,78.4,8.1,Good,5,High School,Poor,3,Yes,82.8
1029,20,Female,2,3.2,3.8,Yes,82.6,6.7,Poor,6,High School,Poor,10,Yes,75.7
1030,21,Female,3.7,0.6,1.3,No,75.6,7.5,Fair,2,Master,Average,5,No,70.6
1031,17,Other,1.5,3.1,2.6,Yes,96.2,8,Fair,4,Bachelor,Average,3,Yes,51.3
1032,20,Other,2.6,4.9,4.3,No,82.1,6.9,Good,3,Bachelor,Good,7,No,52.1
1033,18,Female,4,0.9,1.1,No,99.5,5.8,Poor,2,None,Average,5,No,70.7
1034,22,Female,1.1,2.7,0.1,No,100,7.7,Fair,1,High School,Good,4,No,51.2
1035,21,Female,4.2,1.7,0,Yes,84.2,6.5,Good,1,Bachelor,Average,3,No,72.6
1036,20,Female,3.5,3,2.6,No,74.9,7.3,Fair,3,High School,Good,4,No,70.7
1037,17,Male,4.3,2.5,0,Yes,64.1,3.9,Good,0,High School,Average,2,No,59.4
1038,17,Male,3.8,1.7,1.4,No,70.3,7,Poor,0,Bachelor,Good,1,No,58.1
1039,19,Male,5.5,3.1,2.3,No,71.3,5.7,Good,1,High School,Average,3,No,82.3
1040,19,Female,3.7,4.7,2,No,98.8,8.5,Good,6,Bachelor,Good,2,No,69.7
